date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:13	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Aug%202023%2012:22:14%20GMT	https://qantaradigital.com/robots.txt		(from )
14:22:13	18853/18853	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa7-49a5%22	https://qantaradigital.com/	C:/My%20Web%20Sites/2peco/qantaradigital.com/index.html	(from )
14:22:13	7772/7772	---M--	200	added ('OK')	text/css	etag:%2264138fa2-1e5c%22	https://qantaradigital.com/css/normalize.css	C:/My%20Web%20Sites/2peco/qantaradigital.com/css/normalize.css	(from https://qantaradigital.com/)
14:22:14	39487/39487	---MCZ	200	added ('OK')	text/css	etag:W/%2264138fa2-9a3f%22	https://qantaradigital.com/css/webflow.css	C:/My%20Web%20Sites/2peco/qantaradigital.com/css/webflow.css	(from https://qantaradigital.com/)
14:22:14	71167/71167	---MCZ	200	added ('OK')	text/css	etag:W/%2264138fa2-115ff%22	https://qantaradigital.com/css/qantara.webflow.css	C:/My%20Web%20Sites/2peco/qantaradigital.com/css/qantara.webflow.css	(from https://qantaradigital.com/)
14:22:14	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/2peco/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://qantaradigital.com/)
14:22:14	2390/2390	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa3-956%22	https://qantaradigital.com/images/favicon.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/favicon.jpg	(from https://qantaradigital.com/)
14:22:15	25291/25291	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa7-62cb%22	https://qantaradigital.com/images/webclip.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/webclip.jpg	(from https://qantaradigital.com/)
14:22:15	28568/28568	---M-Z	200	added ('OK')	application/javascript	etag:W/%226f98-JaCTdWHT47U4LbgOccbccIAF1bE%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	C:/My%20Web%20Sites/2peco/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://qantaradigital.com/)
14:22:15	18853/18853	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa7-49a5%22	https://qantaradigital.com/index.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/index-2.html	(from https://qantaradigital.com/)
14:22:15	4536/4536	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa6-11b8%22	https://qantaradigital.com/images/Qantara.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Qantara.svg	(from https://qantaradigital.com/)
14:22:16	14795/14795	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa7-39cb%22	https://qantaradigital.com/expertises.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/expertises.html	(from https://qantaradigital.com/)
14:22:16	20763/20763	---MCZ	200	added ('OK')	text/html	etag:W/%226416c70a-511b%22	https://qantaradigital.com/team.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/team.html	(from https://qantaradigital.com/)
14:22:16	14541/14541	---MCZ	200	added ('OK')	text/html	etag:W/%2264138fa7-38cd%22	https://qantaradigital.com/contact.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/contact.html	(from https://qantaradigital.com/)
